date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-09-09 12:32:02,AfDimBundestag,,7,14,62,"Der #AfD-Abgeordnete @ElsnervonGronow weist die Forderung der VdK-Präsidentin Bentele nach einer #Corona bedingten Vermögensabgabe energisch zurück. Der #VdK fordert dies in seiner aktuellen Mitgliederzeitung: ""VdK-Forderung ist zündelnde Neiddebatte!""",,@ElsnervonGronow,#AfD #Corona #VdK,1303672510693683202,https://twitter.com/AfDimBundestag/status/1303672510693683202
2020-09-09 11:08:36,AfDimBundestag,,15,55,151,"Die #FDP stellt derzeit Pressemitteilungen &amp; Anträge in den Raum, wonach sie als erste &amp; einzige Fraktion die von der #Bundesregierung willkürlich eingeführte rechtliche #Corona-Notlage ablehnen und aufheben wolle. Hierzu @PeterBoehringer: https://www.afdbundestag.de/161600-2/ #AfD #Bundestag",,@PeterBoehringer,#FDP #Bundesregierung #Corona #AfD #Bundestag,1303651513248743424,https://twitter.com/AfDimBundestag/status/1303651513248743424
2020-09-07 11:45:56,AfDimBundestag,,5,16,48,"#Harvard-Forscher schlagen eine neue Teststrategie vor, um eindeutig infektiöse #Corona-Personen zu erkennen und diese gezielt in Quarantäne zu schicken. Hierzu @Paul_Podolay: ""Auch wir müssen die Corona Teststrategie umgehend ändern!"" #AfD #Bundestag",,@Paul_Podolay,#Harvard #Corona #AfD #Bundestag,1302936134016798720,https://twitter.com/AfDimBundestag/status/1302936134016798720
2020-09-04 08:37:19,AfDimBundestag,,12,34,93,"Unter anderem der #Corona #Lockdown der #Bundesregierung führte zu einem nie geahnten Anstieg von #Arbeitslosigkeit &amp; #Kurzarbeit. Jeder 5. deutsche Vollzeitarbeitnehmer ist im #Niedriglohnsektor beschäftigt. Dazu @Witt_Uwe: https://www.afdbundestag.de/witt-jeder-fuenfte-arbeitet-im-niedriglohnsektor/ #Bundestag",,@Witt_Uwe,#Corona #Lockdown #Bundesregierung #Arbeitslosigkeit #Kurzarbeit #Niedriglohnsektor #Bundestag,1301801505134186496,https://twitter.com/AfDimBundestag/status/1301801505134186496
2020-09-02 14:57:07,AfDimBundestag,,22,34,97,"Zu den anhaltenden Diskussionen über eine Verschärfung der Corona-#Massnahmen teilt der #AfD-MdB und Mitglied im Gesundheitsausschuss, @Paul_Podolay, mit: ""Untersuchungsausschuss muss Fehler in der #Corona-Krise aufarbeiten!"" #Bundesregierung #Bundestag",,@Paul_Podolay,#Massnahmen #AfD #Corona #Bundesregierung #Bundestag,1301172308040654848,https://twitter.com/AfDimBundestag/status/1301172308040654848
2020-09-02 08:57:20,AfDimBundestag,,56,157,370,"Die #CDC stellt fest: Nur 6% der Verstorben starben tatsächlich ausschließlich an #Covid19. Alle anderen statistisch erfassten Covid-19-Toten hatten verschiedene, schwere Krankheiten. @Witt_Uwe: ""Tod durch #Corona – alles eine Frage der Statistik."" #AfD",,@Witt_Uwe,#CDC #Covid19 #Corona #AfD,1301081765344313345,https://twitter.com/AfDimBundestag/status/1301081765344313345
2020-09-02 08:32:51,AfDimBundestag,,33,27,99,"Mit der #Corona-Pandemie sind die Exporte dramatisch eingebrochen. Das geht aus einer kleinen Anfrage des Parlamentarischen Geschäftsführers der #AfD-Fraktion, @EnricoKomning, hervor: ""#Bundesregierung riskiert den totalen Zusammenbruch!"" #Bundestag",,@EnricoKomning,#Corona #AfD #Bundesregierung #Bundestag,1301075603517571073,https://twitter.com/AfDimBundestag/status/1301075603517571073
2020-09-01 13:45:05,AfDimBundestag,,12,32,111,"Im WELT-Kommentar „Fordert endlich die Rückkehr zur Normalität des Grundgesetzes!“ behauptet Journalistin Susanne Gaschke, dass bisher lediglich die #FDP im #Bundestag den Mut hatte eine Überprüfung der #Corona-Maßnahmen zu fordern. @Th_Seitz_AfD: https://www.afdbundestag.de/seitz-afd-fraktion-forderte-schon-fruehzeitig-lockerung-der-corona-massnahmen/ #AfD",,@Th_Seitz_AfD,#FDP #Bundestag #Corona #AfD,1300791790883287041,https://twitter.com/AfDimBundestag/status/1300791790883287041
2020-08-31 09:48:53,AfDimBundestag,Alice_Weidel,10,69,198,"Das ist nichts anderes als der Aufruf zum Bruch deutschen und europäischen Rechts unter dem Deckmantel der Bekämpfung der Pandemie. Die #AfD-Bundestagsfraktion wird sich diesen Plänen entschieden entgegenstellen. #Schaeuble #Corona #EU",,,#AfD #Schaeuble #Corona #EU,1300369964193513477,https://twitter.com/AfDimBundestag/status/1300369964193513477
2020-08-28 13:07:27,AfDimBundestag,,20,17,114,"Der stellvertretende Vorsitzende der #AfD-Bundestagsfraktion, @PeterFelser, zeigt sich erleichtert über die Zulassung der Berliner #Corona-Demos: ""Gerichtsurteil zum #Demoverbot in #Berlin erleichternd!"" #b2908 #Berlin #WirsindeinBerlin",,@PeterFelser,#AfD #Corona #Demoverbot #Berlin #b2908 #Berlin #WirsindeinBerlin,1299332769672318977,https://twitter.com/AfDimBundestag/status/1299332769672318977
2020-08-28 12:00:01,Linksfraktion,,2,3,22,"»Wenn es wirklich erste Priorität von Kanzlerin Merkel ist, Kinder vor den Auswirkungen der Corona-Pandemie zu schützen, dann muss sie mehr liefern als Laptops«, so @jankortemdb Mehr dazu hier: https://www.linksfraktion.de/presse/pressemitteilungen/detail/tests-ausweiten-und-das-gesellschaftliche-leben-normalisieren/",,@jankortemdb,,1299315800428351489,https://twitter.com/Linksfraktion/status/1299315800428351489
