"cohort","sex","age_cat","education_cat","intention_to_vote","choice_of_party","political_orientation","marstat","household","hzcy001a","hzcy002a","hzcy003a","hzcy004a","hzcy005a","hzcy006a","hzcy007a","hzcy008a","hzcy009a","hzcy010a","hzcy011a","hzcy012a","hzcy013a","hzcy014a","hzcy015a","hzcy016a","hzcy018a","hzcy019a","hzcy020a","hzcy021a","hzcy022a","hzcy023a","hzcy024a","hzcy025a","hzcy026a","hzcy027a","hzcy028a","hzcy029a","hzcy030a","hzcy031a","hzcy032a","hzcy033a","hzcy034a","hzcy035a","hzcy036a","hzcy037a","hzcy038a","hzcy039a","hzcy040a","hzcy041a","hzcy042a","hzcy043a","hzcy044a","hzcy045a","hzcy046a","hzcy047a","hzcy048a","hzcy049a","hzcy050a","hzcy051a","hzcy052a","hzcy053a","hzcy054a","hzcy055a","hzcy056a","hzcy057a","hzcy058a","hzcy059a","hzcy060a","hzcy061a","hzcy062a","hzcy063a","hzcy064a","hzcy065a","hzcy066a","hzcy067a","hzcy068a","hzcy069a","hzcy070a","hzcy071a","hzcy072a","hzcy073a","hzcy074a","hzcy075a","hzcy076a","hzcy077a","hzcy078a","hzcy079a","hzcy080a","hzcy081a","hzcy083a","hzcy084a","hzcy085a","hzcy086a","hzcy087a","hzcy088a","hzcy089a","hzcy090a","hzcy091a","hzcy092a","hzcy093a","hzcy095a","hzcy096a","hzcy097a","hzcy098a","hzcy099a","hzza003a","hzzq009a","hzzq023a","hzzp201a","hzzp204a","hzzp207a"
"2","1",10,"3","2",98,7,"1","2",4,6,3,6,4,"1","1","0","0","0","1","0","1","1","0","0","0",4,4,4,4,4,2,2,1,4,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,2,4,4,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","1","1","0","0","0","1","0","0",NA,NA,NA,NA,"1",5,5,"31",651,1585223562
"1","2",2,"3","2",5,3,"2","2",4,6,6,6,4,"1","1","0","0","1","1","1","0","1","0","0","0",5,5,5,5,5,5,5,1,5,2,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,4,5,5,5,5,5,5,5,5,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"1",5,5,"31",336,1584510380
"1","1",8,"1","2",2,7,"1","2",2,2,2,2,2,"1","1","1","0","0","1","1","0","1","0","0","0",5,5,5,5,5,5,5,1,5,3,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,4,4,4,4,4,4,4,4,4,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","0","0","1","0","0","0","0","0",NA,NA,NA,NA,"1",4,4,"31",405,1585348329
"2","2",1,"3","2",98,1,"2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"3","2",7,"3","2",5,2,"2","2",6,6,4,6,6,"1","0","0","0","0","1","1","0","1","0","0","0",4,4,4,4,4,4,4,1,3,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,5,4,4,4,4,4,4,4,5,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0","0","0","0","0","1","0","0",NA,NA,NA,NA,"1",4,5,"31",411,1584468409
"2","2",7,"2","2",1,2,"1","2",4,4,3,4,4,"1","1","0","0","0","1","1","0","1","0","0","0",NA,4,4,4,5,2,2,1,4,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,4,4,4,5,4,4,4,4,98,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","1","0","1","0","1","0","0","0",NA,NA,NA,NA,"1",4,4,"31",443,1584968090
"1","2",7,"3","2",5,3,"1","1",4,4,3,4,4,"1","1","1","0","0","1","1","0","1","0","0","0",5,5,5,5,5,5,5,1,5,4,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,4,3,3,4,4,4,4,4,4,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0","0","0","1","0","1","0","0",1,1,0,1,"1",4,4,"31",412,1585408051
"2","1",7,"3",NA,NA,3,"1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"2","2",8,"3","2",98,3,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"2","2",6,"2",NA,98,5,"1","2",4,6,3,6,7,"1","0","0","0","0","1","1","1","1","0","0","0",4,4,4,3,5,3,2,1,4,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,4,4,1,5,4,4,5,5,2,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","1","1","0","0","0","0","0","0",NA,NA,NA,NA,"1",5,5,"31",354,1584650163
